Source,Target,Type,Id,Label,Weight,via_ego,edge_type
142,1,Undirected,1480,,4,false,enriched
142,141,Undirected,1481,,2,false,enriched
142,131,Undirected,1482,,2,false,enriched
142,78,Undirected,1483,,2,false,enriched
1,141,Undirected,1484,,4,false,enriched
1,131,Undirected,1485,,2,false,enriched
1,78,Undirected,1486,,6,false,enriched
141,131,Undirected,1487,,2,false,enriched
141,78,Undirected,1488,,4,false,enriched
131,78,Undirected,1489,,2,false,enriched
114,55,Undirected,1494,,2,false,enriched
114,107,Undirected,1495,,2,false,enriched
114,83,Undirected,1496,,2,false,enriched
114,133,Undirected,1497,,2,false,enriched
114,14,Undirected,1498,,2,false,enriched
55,122,Undirected,1499,,4,false,enriched
55,145,Undirected,1500,,2,false,enriched
55,107,Undirected,1501,,2,false,enriched
55,83,Undirected,1502,,2,false,enriched
55,101,Undirected,1503,,4,false,enriched
55,133,Undirected,1504,,2,false,enriched
55,1,Undirected,1505,,4,false,enriched
55,14,Undirected,1506,,4,false,enriched
122,107,Undirected,1507,,4,false,enriched
122,83,Undirected,1508,,4,false,enriched
122,133,Undirected,1509,,2,false,enriched
145,107,Undirected,1510,,2,false,enriched
145,83,Undirected,1511,,2,false,enriched
145,133,Undirected,1512,,2,false,enriched
145,14,Undirected,1513,,2,false,enriched
107,83,Undirected,1514,,4,false,enriched
107,101,Undirected,1515,,4,false,enriched
107,133,Undirected,1516,,2,false,enriched
107,1,Undirected,1517,,6,false,enriched
107,14,Undirected,1518,,4,false,enriched
83,101,Undirected,1519,,4,false,enriched
83,133,Undirected,1520,,2,false,enriched
83,1,Undirected,1521,,4,false,enriched
83,14,Undirected,1522,,4,false,enriched
101,133,Undirected,1523,,4,false,enriched
133,1,Undirected,1524,,4,false,enriched
133,14,Undirected,1525,,2,false,enriched
75,76,Undirected,1527,,6,false,enriched
75,101,Undirected,1528,,4,false,enriched
75,49,Undirected,1529,,4,false,enriched
75,133,Undirected,1530,,2,false,enriched
75,78,Undirected,1531,,4,false,enriched
76,49,Undirected,1532,,4,false,enriched
76,133,Undirected,1533,,2,false,enriched
101,49,Undirected,1534,,4,false,enriched
49,133,Undirected,1535,,2,false,enriched
49,1,Undirected,1536,,4,false,enriched
49,78,Undirected,1537,,4,false,enriched
133,78,Undirected,1538,,2,false,enriched
75,57,Undirected,1540,,4,false,enriched
76,57,Undirected,1541,,4,false,enriched
1,57,Undirected,1542,,4,false,enriched
55,2,Undirected,1543,,2,false,enriched
55,62,Undirected,1544,,2,false,enriched
55,30,Undirected,1545,,2,false,enriched
122,2,Undirected,1546,,2,false,enriched
122,62,Undirected,1547,,2,false,enriched
122,30,Undirected,1548,,2,false,enriched
101,2,Undirected,1549,,2,false,enriched
101,62,Undirected,1550,,2,false,enriched
101,30,Undirected,1551,,2,false,enriched
2,14,Undirected,1552,,2,false,enriched
2,30,Undirected,1553,,2,false,enriched
14,62,Undirected,1554,,2,false,enriched
14,30,Undirected,1555,,2,false,enriched
62,30,Undirected,1556,,2,false,enriched
75,107,Undirected,1560,,2,false,enriched
75,83,Undirected,1561,,2,false,enriched
75,106,Undirected,1562,,2,false,enriched
75,89,Undirected,1563,,2,false,enriched
75,141,Undirected,1564,,2,false,enriched
75,14,Undirected,1565,,2,false,enriched
75,52,Undirected,1566,,2,false,enriched
122,49,Undirected,1567,,2,false,enriched
122,106,Undirected,1568,,2,false,enriched
122,89,Undirected,1569,,2,false,enriched
122,57,Undirected,1570,,2,false,enriched
122,52,Undirected,1571,,2,false,enriched
76,107,Undirected,1572,,2,false,enriched
76,83,Undirected,1573,,2,false,enriched
76,106,Undirected,1574,,2,false,enriched
76,89,Undirected,1575,,2,false,enriched
76,52,Undirected,1576,,2,false,enriched
107,49,Undirected,1577,,2,false,enriched
107,106,Undirected,1578,,2,false,enriched
107,89,Undirected,1579,,2,false,enriched
107,141,Undirected,1580,,2,false,enriched
107,78,Undirected,1581,,2,false,enriched
107,57,Undirected,1582,,2,false,enriched
107,52,Undirected,1583,,2,false,enriched
83,49,Undirected,1584,,2,false,enriched
83,106,Undirected,1585,,2,false,enriched
