Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S42,Nora,Luis Mitrovic Balbontín,28-01-1999,1999.0,Chilean (1938–1970 / 1986–2008),#16A085,"Tuderschitz, Austria","Santiago, Chile",46.6167,14.2667,-33.4489,-70.6693,1999 · Nora → Luis Mitrovic Balbontín
S48,Roland Palmedo,Luis Mitrovic Balbontín,21-08-1951,1951.0,Chilean (1938–1970 / 1986–2008),#16A085,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1951 · Roland Palmedo → Luis Mitrovic Balbontín
S52,Harriet and Don,Luis Mitrovic Balbontín,27-09-1999,1999.0,Chilean (1938–1970 / 1986–2008),#16A085,"Cambridge, Massachusetts, USA","Santiago, Chile",42.3736,-71.1097,-33.4489,-70.6693,1999 · Harriet and Don → Luis Mitrovic Balbontín
S130,Winold Tjark Reiss,Luis Mitrovic Balbontín,25-12-1937,1937.0,European (1934–1938),#9B59B6,"Huancayo, Peru","Vienna, Austria",-12.0651,-75.2049,48.2082,16.3738,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S131,Winold Tjark Reiss,Luis Mitrovic Balbontín,25-07-1937,1937.0,European (1934–1938),#9B59B6,"Athens, Greece","Santiago, Chile",37.9838,23.7275,-33.4489,-70.6693,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S132,Winold Tjark Reiss,Luis Mitrovic Balbontín,07-10-1937,1937.0,European (1934–1938),#9B59B6,"Temuco, Chile","Santiago, Chile",-38.7359,-72.5904,-33.4489,-70.6693,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S133,Winold Tjark Reiss,Luis Mitrovic Balbontín,06-03-1936,1936.0,European (1934–1938),#9B59B6,"Vienna, Austria","Weimar, Germany",48.2082,16.3738,50.9795,11.3235,1936 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S134,Winold Tjark Reiss,Luis Mitrovic Balbontín,24-02-1949,1949.0,Chilean (1938–1970 / 1986–2008),#16A085,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1949 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S135,Nora,Luis Mitrovic Balbontín,1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Surrey, Great Britain","Santiago, Chile",51.3148,-0.56,-33.4489,-70.6693,1943 · Nora → Luis Mitrovic Balbontín
S139,Winold Tjark Reiss,Luis Mitrovic Balbontín,31-07-1937,1937.0,European (1934–1938),#9B59B6,"Dubrovnik, Croatia","Vienna, Austria",42.6507,18.0944,48.2082,16.3738,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S150,Mrs. Boward,Luis Mitrovic Balbontín,12-03-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Surrey, Great Britain","Santiago, Chile",51.3148,-0.56,-33.4489,-70.6693,1943 · Mrs. Boward → Luis Mitrovic Balbontín
S151,Nora,Luis Mitrovic Balbontín,10-06-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Ockley, Surrey, Great Britain","Santiago, Chile",51.164,-0.373,-33.4489,-70.6693,1943 · Nora → Luis Mitrovic Balbontín
S157,Winold Tjark Reiss,Luis Mitrovic Balbontín,09-09-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1994 · Winold Tjark Reiss → Luis Mitrovic Balbontín
S157,Luis Mitrovic Balbontín,Winold Tjark Reiss,10-10-1994,1994.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","New York, USA",-33.4489,-70.6693,40.7128,-74.006,1994 · Luis Mitrovic Balbontín → Winold Tjark Reiss
