Envelope,From,To,Date,year,period_label,period_color,mitrovic_place,mitrovic_lat,mitrovic_lon,tooltip,carta_count
S159,Winold Tjark Reiss,Luis Mitrovic Balbontín,30-12-1936,1936.0,European (1934–1938),#9B59B6,"Kitzbühel, Austria",47.4458,12.3925,1936 · Winold Tjark Reiss → Luis Mitrovic Balbontín,3
S160,Winold Tjark Reiss,Luis Mitrovic Balbontín,18-12-1937,1937.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1937 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S161,Winold Tjark Reiss,Luis Mitrovic Balbontín,19-01-1940,1940.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1940 · Winold Tjark Reiss → Luis Mitrovic Balbontín,64
S162,Winold Tjark Reiss,Luis Mitrovic Balbontín,23-03-1978,1978.0,United States (1971–1985),#D4AC0D,"Boston, Massachusetts, USA",42.3601,-71.0589,1978 · Winold Tjark Reiss → Luis Mitrovic Balbontín,5
S163,Winold Tjark Reiss,Luis Mitrovic Balbontín,21-04-1977,1977.0,United States (1971–1985),#D4AC0D,"Boston, Massachusetts, USA",42.3601,-71.0589,1977 · Winold Tjark Reiss → Luis Mitrovic Balbontín,5
S164,Winold Tjark Reiss,Luis Mitrovic Balbontín,08-04-1977,1977.0,United States (1971–1985),#D4AC0D,"Boston, Massachusetts, USA",42.3601,-71.0589,1977 · Winold Tjark Reiss → Luis Mitrovic Balbontín,5
S171,Angela Gana,Luis Mitrovic Balbontín,04-02-1942,1942.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1942 · Angela Gana → Luis Mitrovic Balbontín,64
S172,Angela Gana,Luis Mitrovic Balbontín,02-02-1942,1942.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1942 · Angela Gana → Luis Mitrovic Balbontín,64
S173,Angela Gana,Luis Mitrovic Balbontín,12-02-1943,1943.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1943 · Angela Gana → Luis Mitrovic Balbontín,64
S174,Angela Gana,Luis Mitrovic Balbontín,27-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín,64
S174,Luis Mitrovic Balbontín,Angela Gana,28-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1961 · Luis Mitrovic Balbontín → Angela Gana,64
S174,Angela Gana,Luis Mitrovic Balbontín,19-12-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín,64
S175,Angela Gana,Luis Mitrovic Balbontín,24-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín,64
S176,Angela Gana,Luis Mitrovic Balbontín,22-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín,64
S177,Angela Gana,Luis Mitrovic Balbontín,16-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín,64
S178,Angela Gana,Luis Mitrovic Balbontín,22-12-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín,64
S179,Angela Gana,Luis Mitrovic Balbontín,17-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín,64
S57,Peter Behrens,Luis Mitrovic Balbontín,21-06-1935,1935.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1935 · Peter Behrens → Luis Mitrovic Balbontín,21
S54A,Baburizza & Company LTD,Luis Mitrovic Balbontín,12-09-1935,1935.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1935 · Baburizza & Company LTD → Luis Mitrovic Balbontín,21
S54B,Baburizza & Company LTD,Luis Mitrovic Balbontín,24-11-1936,1936.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1936 · Baburizza & Company LTD → Luis Mitrovic Balbontín,21
S59A,John Grisar,Luis Mitrovic Balbontín,14-08-1935,1935.0,European (1934–1938),#9B59B6,"Dubrovnik, Croatia",42.6507,18.0944,1935 · John Grisar → Luis Mitrovic Balbontín,3
S59B,John Grisar,Luis Mitrovic Balbontín,13-08-1935,1935.0,European (1934–1938),#9B59B6,"Dubrovnik, Croatia",42.6507,18.0944,1935 · John Grisar → Luis Mitrovic Balbontín,3
S60,John Grisar,Luis Mitrovic Balbontín,21-09-1935,1935.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1935 · John Grisar → Luis Mitrovic Balbontín,21
