Envelope,Filename,Language,category,include_in_network,PER_count,PER_stanza,PER_propagated,LOC_count,ORG_count,total_entities
S88,MITRO3-S88-DOC-001,German,non_epistolary_collected,yes,0,0,0,4,0,4
S89,MITRO3-S89-CARTA-001,English,institutional_letter,yes,3,0,3,0,2,5
S90A,MITRO3-S90-CARTA-002,German,professional_letter,yes,3,0,3,0,0,3
S90B,MITRO3-S90-CARTA-003,German,institutional_letter,yes,0,0,0,0,3,3
S91,MITRO3-S91-CARTA-003,German,personal_letter,yes,1,0,1,3,0,4
S92,MITRO3-S92-CARTA-003,German,personal_letter,yes,2,0,2,0,5,7
S93,MITRO3-S93-CARTA-003,German,personal_letter,yes,0,0,0,2,0,2
S94,MITRO3-S94-CARTA-003,English,personal_letter,yes,1,0,1,2,1,4
S95,MITRO3-S95-CARTA-002,German,personal_letter,yes,0,0,0,0,1,1
S96,MITRO3-S96-CARTA-001,German,personal_letter,yes,0,0,0,1,3,4
S97,MITRO3-S97-CARTA-002,German,personal_letter,yes,0,0,0,2,1,3
S98A,MITRO3-S98-CARTA-002A,Spanish,personal_letter,yes,3,3,0,0,0,3
S98B,MITRO3-S98-CARTA-002B,Spanish,personal_letter,yes,2,2,0,0,0,2
S99,MITRO3-S99-CARTA-002,English,personal_letter,yes,0,0,0,1,0,1
S100,MITRO3-S100-CARTA-001,English,personal_letter,yes,1,0,1,0,1,2
S102,MITRO3-S102-CARTA-002,English,personal_letter,yes,1,0,1,0,2,3
S103,MITRO3-S103-CARTA-002,German,personal_letter,yes,0,0,0,1,0,1
S104,MITRO3-S104-CARTA-003,English,personal_letter,yes,2,0,2,0,2,4
S105,MITRO3-S105-CARTA-001,Spanish,personal_letter,yes,9,6,3,15,1,25
S106,MITRO3-S106-CARTA-001,Spanish,personal_letter,yes,7,7,0,5,1,13
S107,MITRO3-S107-CARTA-002,Spanish,personal_letter,yes,25,24,1,20,5,50
S108,MITRO3-S108-CARTA-001,German,personal_letter,yes,0,0,0,0,1,1
S185,MITRO3-S185-CARTA-003,German,personal_letter,yes,2,0,2,0,1,3
S109,MITRO3-S109-CARTA-001,German,personal_letter,yes,0,0,0,2,0,2
S110,MITRO3-S110-CARTA-003,Spanish,personal_letter,yes,15,14,1,18,0,33
S111,MITRO3-S111-CARTA-002,German,personal_letter,yes,2,0,2,1,1,4
S113,MITRO3-S113-CARTA-003,Spanish,personal_letter,yes,9,7,2,5,1,15
S114,MITRO3-S114-CARTA-003,Spanish,personal_letter,yes,4,3,1,3,6,13
S115,MITRO3-S115-CARTA-003,Spanish,personal_letter,yes,7,7,0,5,4,16
S116,MITRO3-S116-CARTA-003,Spanish,personal_letter,yes,7,6,1,2,2,11
S117,MITRO3-S117-CARTA-003,Spanish,personal_letter,yes,9,7,2,9,8,26
S118,MITRO3-S118-CARTA-003,Spanish,personal_letter,yes,6,6,0,2,2,10
S119,MITRO3-S119-CARTA-003,Spanish,personal_letter,yes,8,6,2,23,9,40
S120,MITRO3-S120-CARTA-003,Spanish,personal_letter,yes,6,4,2,10,7,23
S121,MITRO3-S121-CARTA-001,German,personal_letter,yes,0,0,0,0,0,0
S122A,MITRO3-S122-CARTA-003,Spanish,personal_letter,yes,11,8,3,9,2,22
S122B,MITRO3-S122-CARTA-006,Spanish,personal_letter,yes,2,2,0,0,1,3
